strassenschlüssel,strassenname,stadtteilschlüssel,stadtteilname,stadtviertelschlüssel,stadtviertelname,plz,hausnr_ungerade_von,hausnr_ungerade_bis,hausnr_gerade_von,hausnr_gerade_bis
1,Aachener Glacis,104,Neustadt/Nord,10407.0,Colonius,50674,0001,0001a,,
2,Aachener Str.,102,Neustadt/Süd,10205.0,Komponisten-Viertel,50674,0001,0071,0002,0084
2,Aachener Str.,303,Lindenthal,30306.0,Melaten,50931,0075,0327,0186,0188
2,Aachener Str.,102,Neustadt/Süd,10208.0,Aachener Weiher,50674,,,0086,0134
2,Aachener Str.,303,Lindenthal, , ,50931,,,0204,0204
2,Aachener Str.,303,Lindenthal,30306.0,Melaten,50931,,,0220,0250
2,Aachener Str.,304,Braunsfeld,30404.0,GE Braunsfeld,50933,,,0300,0390
2,Aachener Str.,303,Lindenthal,30306.0,Melaten,50933,0329,0413,,
2,Aachener Str.,304,Braunsfeld,30401.0,Braunsfeld,50933,,,0392,0698a
2,Aachener Str.,304,Braunsfeld,30402.0,Baumeister-Viertel,50933,0415,0689,,
2,Aachener Str.,305,Müngersdorf,30502.0,Stadion,50933,0701,0999,0800,0812a
2,Aachener Str.,305,Müngersdorf,30501.0,Alt-Müngersdorf,50933,,,0704,0752
2,Aachener Str.,305,Müngersdorf,30504.0,Neu-Müngersdorf,50933,,,0952,0972
2,Aachener Str.,306,Junkersdorf,30601.0,Junkersdorf,50858,1001,1065,1002,1068a
2,Aachener Str.,307,Weiden,30702.0,Neu-Weiden,50858,1087,1215,1100,1122
2,Aachener Str.,307,Weiden,30701.0,Alt-Weiden,50858,,,1128,1208
2,Aachener Str.,307,Weiden,30701.0,Alt-Weiden,50859,,,1210,1342b
2,Aachener Str.,307,Weiden,30702.0,Neu-Weiden,50859,1253,1265,,
2,Aachener Str.,307,Weiden,30703.0,Üsdorf,50859,1281,1407,1348,1378
2,Aachener Str.,307,Weiden, , ,50859,1413,1413,1420,1420
4000,Aachener Str. (Porz),706,Porz,70603.0,Porz-Ost,51145,0003,0039,0002,0026
3,Aarestr.,908,Stammheim,90802.0,Siedlung Stammheim-Süd,51061,,,,
4,Abendrothstr.,603,Seeberg,60301.0,Seeberg-Nord,50769,0005,0013,0002,0024
5,Abshofstr.,806,Merheim,80601.0,Merheim,51109,0001,0075,0004,0084
6,Abt-Herwegen-Str.,303,Lindenthal,30305.0,Deckstein,50935,0005,0017,0004,0012
5979,Abtsweg,714,Zündorf,71402.0,Zündorf-Süd,51143,0001,0019,0002,0048
7,Achtergäßchen,101,Altstadt/Süd,10106.0,Severins-Viertel,50678,,,0002,0002
8,Achterstr.,101,Altstadt/Süd,10106.0,Severins-Viertel,50678,0001,0083a,0002,0068
6054,Ackerhummelweg,208,Rodenkirchen, , ,50999,,,,
9,Ackerstr.,903,Buchheim,90302.0,Buchheim,51065,,,0006,0148
4003,Ackerwinde,306,Junkersdorf,30601.0,Junkersdorf,50858,0001,0031a,0002,0028
3459,Adalbert-Stifter-Str.,904,Holweide,90402.0,Holweide-Ost,51067,0009,0013,0002,0020
4005,Adalbert-Stifter-Weg,208,Rodenkirchen,20804.0,Auenviertel,50996,0001,0005,0002,0004
10,Adalbertstr.,804,Höhenberg,80403.0,Höhenberg,51103,0001,0017,0002,0026
5826,Adam-Linden-Str.,705,Eil,70502.0,Eil,51145,0001,0041,0002,0016
11,Adamsstr.,901,Mülheim,90103.0,Mülheim,51063,0001,0083,0012,0080
12,Adam-Stegerwald-Str.,901,Mülheim,90101.0,Stegerwald-Siedlung,51063,0001,0031,0016,0036
4004,Adamstr.,208,Rodenkirchen,20805.0,Rodenkirchen,50996,0001,0027,0002,0028
13,Adam-Wrede-Str.,501,Nippes,50104.0,Siedlung Florastr.,50733,,,0002,0012
4006,Adelmutstr.,714,Zündorf,71401.0,Zündorf,51143,0001,0013,0002,0014
4007,Adlerstr.,206,Rondorf,20602.0,Hochkirchen,50997,0001,0029,,
4007,Adlerstr.,206,Rondorf,20601.0,Rondorf,50997,,,0004,0012
4007,Adlerstr.,206,Rondorf,20607.0,Rondorf-Ost,50997,,,0014,0144
